monthly_salary,city,city_living_cost_index,goal_type,goal_cost,timeline_years,income_growth_rate,monthly_living_cost,disposable_income,monthly_investment_required,investment_to_income_ratio,verdict
7852143,Bali (Denpasar),8,Custom,250624739,25,0.1219,6500000,1352143,2829014,2.0,red
7598528,Bandung,4,Retirement,1152000000,8,0.09,5000000,2598528,17729465,2.0,red
7976635,Jakarta Selatan,1,Higher Education,80000000,14,0.1013,8500000,0,476190,1.0,red
6574324,Makassar,10,Emergency Fund,25200000,18,0.0833,4200000,2374324,280772,0.1183,green
5271819,Jakarta Utara,3,Emergency Fund,36000000,27,0.1068,6000000,0,414828,1.0,red
6822635,Surabaya,5,Education,287221384,30,0.1115,5500000,1322635,797837,0.6032,red
15781248,Makassar,10,Emergency Fund,25200000,30,0.0568,4200000,11581248,302536,0.0261,green
11830574,Bali (Denpasar),8,Higher Education,80000000,6,0.0524,6500000,5330574,1111111,0.2084,green
7266084,Yogyakarta,6,Emergency Fund,24000000,24,0.0946,4000000,3266084,268758,0.0823,green
7526854,Jakarta Pusat,2,Emergency Fund,45000000,16,0.1077,7500000,26854,511611,2.0,red
14898112,Medan,7,Higher Education,200000000,23,0.0865,3500000,11398112,724638,0.0636,green
5814047,Surabaya,5,Property,720000000,30,0.1211,5500000,314047,2000000,2.0,red
5888821,Jakarta Selatan,1,Property,2940000000,14,0.0811,8500000,0,17500000,1.0,red
5042239,Jakarta Utara,3,Retirement,612000000,29,0.1295,6000000,0,7238721,1.0,red
6075397,Semarang,9,Property,459000000,4,0.144,3800000,2275397,9562500,2.0,red
6112455,Bali (Denpasar),8,Emergency Fund,39000000,10,0.1266,6500000,0,529391,1.0,red
6683730,Jakarta Utara,3,Higher Education,150000000,3,0.0884,6000000,683730,4166667,2.0,red
13539774,Medan,7,Custom,242393458,12,0.0528,3500000,10039774,3022943,0.3011,yellow
13025788,Medan,7,Wedding,80000000,7,0.0833,3500000,9525788,1340096,0.1407,green
6231149,Bandung,4,Custom,180388154,24,0.146,5000000,1231149,2020034,1.6408,red
46852392,Semarang,9,Emergency Fund,22800000,30,0.0353,3800000,43052392,273723,0.0064,green
6249530,Makassar,10,Property,495000000,3,0.0885,4200000,2049530,13750000,2.0,red
6943070,Semarang,9,Property,382500000,8,0.1373,3800000,3143070,3984375,1.2677,red
16261165,Surabaya,5,Education,134403793,17,0.0985,5500000,10761165,658842,0.0612,green
5656293,Bali (Denpasar),8,Property,792000000,28,0.1292,6500000,0,2357143,1.0,red
